x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
678.277,973.075,840.423,941.253,907.613,394.96,715.801,60.853,1027.395,444.549,707.615,97.629,871.863,435.031,581.56,331.662,739.446,495.563
677.834,972.986,833.334,944.307,907.199,395.135,715.678,61.651,1027.845,453.114,707.329,97.697,870.798,424.61,585.146,345.314,739.254,495.544
678.08,973.17,825.897,948.834,907.131,393.898,715.964,61.222,1029.193,459.245,707.505,98.528,867.731,413.575,586.707,354.549,738.823,495.563
677.957,973.074,818.112,953.87,907.373,392.965,715.606,61.512,1029.404,467.144,708.69,99.272,866.217,406.254,588.27,363.527,738.54,495.858
678.329,972.807,814.04,955.306,906.928,392.644,715.876,61.379,1029.944,470.989,708.916,99.51,864.775,398.252,590.387,371.095,738.489,496.122
677.996,972.87,813.884,955.292,907.604,392.8,715.38,61.506,1030.933,475.547,708.974,99.782,865.461,389.37,591.63,387.121,738.977,495.748
677.898,972.846,813.732,955.318,907.793,393.466,715.307,63.108,1029.704,483.751,709.224,99.716,863.369,378.936,590.29,395.932,739.22,495.326
677.955,972.985,813.551,955.589,907.834,393.504,716.286,60.252,1030.865,484.364,709.592,99.837,863.042,373.714,586.816,409.603,738.347,496.422
678.172,972.876,812.724,957.67,908.256,394.303,715.425,62.174,1031.662,488.897,709.086,100.062,861.969,365.802,584.038,420.209,738.777,496.369
678.046,973.192,809.029,962.134,908.036,392.907,716.097,60.799,1032.273,492.979,709.302,100.108,862.367,360.112,582.531,430.98,738.562,496.576
678.022,973.235,804.809,963.241,907.955,393.916,715.947,61.347,1031.731,495.126,709.955,100.405,861.264,355.057,582.021,440.785,738.73,496.315
678.083,972.932,799.167,965.956,908.291,393.536,715.353,61.91,1031.729,495.109,709.567,100.13,861.581,344.407,581.668,450.893,739.102,496.389
678.14,972.925,792.73,969.062,907.933,392.598,715.591,61.957,1031.811,494.908,709.804,100.348,862.32,337.968,580.558,464.566,739.047,496.619
678.287,972.603,788.122,972.163,908.116,392.573,715.658,61.379,1031.302,495.15,710.016,100.346,864.756,327.214,580.13,476.604,738.439,496.702
678.126,973.041,784.079,974.273,907.842,392.712,716.269,60.935,1030.797,497.406,709.302,100.063,864.875,321.532,575.988,491.095,738.962,496.298
678.12,972.883,780.126,976.361,907.274,393.693,715.595,61.533,1031.585,498.858,710.183,100.543,866.222,313.166,571.283,501.463,738.627,496.592
678.243,973.151,778.035,977.131,907.421,392.711,715.658,61.958,1031.383,501.231,710.03,100.72,865.358,308.415,568.249,511.026,738.731,496.544
677.739,973.053,778.59,977.104,907.664,392.909,715.531,61.355,1031.073,499.538,709.491,100.489,863.762,300.139,564.254,523.746,738.567,496.812
677.902,973.087,778.718,977.121,907.72,393.142,715.399,61.301,1032.698,502.156,709.176,100.358,862.468,293.651,556.882,533.013,738.975,496.599
677.866,973.013,778.396,977.27,907.957,391.643,715.347,62.465,1033.511,504.686,710.176,100.687,861.094,285.685,548.241,541.078,738.788,496.718
677.831,973.001,777.79,977.644,907.405,393.102,714.609,62.923,1034.414,507.103,710.226,100.476,861.026,282.161,541.44,553.301,739.134,495.902
678.037,973.094,776.159,979.195,907.574,392.785,713.908,63.266,1034.265,510.75,710.115,100.727,861.254,275.98,532.462,560.964,738.806,496.814
678.263,973.22,771.752,982.629,907.723,391.81,714.618,62.007,1036.376,515.252,709.725,100.229,862.443,270.665,525.831,566.926,738.313,496.444
678.138,973.232,769.922,984.316,908.126,391.744,715.742,62.354,1036.301,521.792,710.353,100.757,863.2,264.831,516.021,578.392,737.768,496.894
678.044,973.072,766.636,986.092,907.737,391.534,716.613,62.943,1036.318,525.37,710.043,100.897,864.682,259.893,508.087,583.451,738.29,496.987
678.124,973.107,763.39,987.493,907.311,392.492,716,62.731,1036.137,529.975,710.283,100.8,866.469,252.52,498.238,588.212,738.189,497.201
678.313,972.99,761.868,988.342,907.609,391.78,716.212,61.814,1035.731,534.153,709.971,100.62,867.707,242.595,487.326,596.984,737.84,497.377
678.324,973.048,761.887,987.804,907.648,391.918,717.41,60.845,1035.955,537.599,709.737,100.52,867.839,234.639,479.97,600.457,738.035,497.401
678.151,973.125,760.23,989.168,907.975,391.756,716.927,61.499,1035.587,542.806,710.137,100.701,867.688,227.555,470.272,605.036,737.679,497.494
677.95,973.021,755.677,995.429,907.718,391.62,716.559,62.278,1033.246,551.815,710.708,100.821,867.767,220.47,464.712,608.566,738.695,496.909
677.822,973.195,750.622,997.292,907.747,391.919,716.802,62.52,1033.852,558.856,710.387,100.797,870.698,212.447,458.964,613.836,737.991,496.854
677.764,973.172,744.319,999.897,908.397,392.51,718.185,60.644,1033.627,566.874,710.331,100.927,873.107,205.876,452.504,619.666,738.414,495.641
677.796,973.19,740.079,999.994,908.358,392.876,717.639,60.475,1032.61,574.084,709.72,100.647,878.055,196.89,446.6,624.612,738.478,496.586
677.708,972.892,733.264,1002.175,907.683,391.969,716.312,61.684,1033.488,578.379,710.345,100.812,882.04,190.555,436.488,632.419,738.143,496.563
678.392,973.171,727.873,1005.279,907.821,392.018,716.844,61.019,1031.286,586.507,710.566,100.797,884.215,191.159,426.354,639.466,739.032,495.92
678.095,973.372,718.984,1009.863,908.272,392.503,717.229,60.233,1030.774,592.424,710.581,100.726,885.252,193.16,418.845,649.681,738.232,496.063
677.908,973.423,709.017,1013.363,908.287,392.587,718.007,60.37,1030.385,600.137,710.359,100.979,885.915,197.617,415.192,657.658,738.083,496.461
677.951,973.032,698.028,1017.098,907.675,391.832,716.801,60.921,1028.905,604.635,709.8,100.551,887.151,199.393,410.337,669.088,738.386,496.785
677.718,973.333,691.765,1019.939,907.569,392.039,717.154,61.149,1028.111,606.107,710.533,100.995,883.938,198.774,407.358,680.37,737.988,496.83
678.18,973.217,682.661,1022.286,908.03,392.39,716.71,60.947,1027.991,606.69,710.473,101.03,884.867,197.661,405.298,693.587,738.435,496.314
677.872,973.054,675.197,1023.368,907.986,392.228,716.09,61.3,1028.078,608.236,710.474,101.028,883.982,197.471,401.327,706.245,738.378,496.459
677.698,973.044,665.374,1026.825,908.188,392.018,717.924,61.43,1027.667,611.43,710.562,100.835,882.454,200.685,398.339,718.185,738.663,496.229
678.078,973.239,657.247,1029.26,907.424,392.839,716.446,61.889,1026.121,615.831,710.719,100.977,880.979,201.436,396.361,726.938,738.499,497.029
678.313,973.169,649.622,1031.524,907.948,392.187,715.181,62.638,1026.111,616.909,710.518,100.975,878.202,201.466,392.271,739.853,737.885,496.803
678.057,973.028,642.168,1033.311,907.696,392.036,715.116,61.798,1024.595,619.076,710.762,101.369,877.491,199.689,386.624,750.982,737.289,497.316
678.189,972.962,634.256,1035.205,907.887,391.972,715.865,61.58,1024.451,622.919,710.786,101.189,876.426,197.154,381.104,760.17,737.673,497.6
678,973.124,627.791,1036.081,907.356,392.38,716.991,60.999,1024.075,625.23,710.373,101.283,874.332,194.203,374.435,771.166,737.872,498.172
678.125,973.071,623.005,1036.619,908.065,392.007,716.218,60.912,1023.27,625.136,710.828,101.243,873.593,190.994,365.3,778.402,737.621,497.955
678.27,973.091,621.287,1037.115,907.704,392.043,717.997,60.562,1023.546,625.581,710.975,101.387,873.301,186.049,359.585,782.696,737.294,498.232
677.771,972.791,621.253,1036.899,907.569,392.412,716.181,61.176,1023.746,625.368,710.93,101.288,871.667,180.131,353.871,787.795,737.391,498.366
677.67,972.636,621.179,1036.956,907.902,391.42,716.334,61.6,1023.636,626.009,710.932,101.355,870.909,177.164,352.327,792.342,737.709,498.306
677.742,972.895,621.087,1036.879,908.324,391.464,715.525,61.863,1023.572,627.302,711.01,101.474,868.656,176.201,350.944,799.52,737.355,498.449
677.871,972.667,615.322,1039.445,908.075,391.752,717.309,61.426,1024.572,633.614,710.725,101.344,860.352,169.248,351.242,805.864,737.935,497.526
677.208,972.564,606.668,1041.61,907.745,390.916,716.138,61.217,1023.552,641.789,710.29,100.951,856.712,159.784,353.212,815.452,737.637,497.853
677.121,972.73,598.57,1042.327,907.145,389.087,715.731,61.342,1021.593,646.814,710.234,100.885,851.653,155.367,356.115,827.959,738.152,497.22
677.339,972.464,590.245,1041.871,907.176,390.906,715.129,61.02,1019.541,653.043,710.944,101.293,847.786,151.127,359.148,838.72,737.774,497.493
677.484,972.661,581.691,1043.064,906.547,388.864,715.386,60.841,1018.638,657.137,710.768,101.254,845.219,148.454,360.894,849.503,738.194,496.318
677.687,972.382,576.931,1043.58,906.421,383.502,713.592,59.88,1017.404,661.531,710.904,101.028,839.076,145.004,362.221,859.47,737.257,497.835
677.76,972.691,572.355,1043.908,906.113,374.165,712.083,59.945,1016.381,668.579,710.506,101.134,832.791,143.044,364.742,871.988,737.619,497.481
677.844,972.587,562.371,1043.93,905.395,369.856,711.868,58.872,1015.298,673.536,710.777,101.124,826.807,143.06,368.175,884.744,738.055,497.019
677.957,972.748,556.396,1044.789,906.195,364.183,710.595,57.877,1011.769,681.157,711.196,101.432,819.799,140.657,370.162,893.973,738.394,496.281
677.746,972.514,547.942,1045.074,905.15,358.409,710.326,56.591,1009.497,688.776,710.88,101.42,813.536,138.178,373.172,906.35,738.134,497.114
677.986,972.624,539.38,1046.201,904.949,354.208,707.019,57.005,1007.316,691.415,711.013,101.456,808.318,136.83,376.14,920.775,737.635,497.47
677.217,972.642,529.427,1045.663,903.485,346.827,705.58,56.731,1008.199,695.546,710.95,101.344,801.081,131.663,376.978,932.434,737.977,497.502
676.717,972.78,519.487,1046.237,901.716,341.27,704.745,55.357,1008.196,700.069,710.916,101.287,796.932,127.661,379.119,947.589,738.515,497.317
675.886,972.887,509.396,1045.671,897.998,331.972,703.515,53.355,1004.82,705.382,710.695,101.32,793.134,123.955,380.497,961.851,738.451,498.098
674.776,972.506,501.16,1044.025,895.252,324.503,699.069,52.016,1003.608,708.42,711.141,101.544,787.97,119.638,380.142,971.117,738.337,498.128
672.869,971.597,495.699,1042.047,892.008,316.085,693.342,50.303,1001.793,712.571,711.109,101.469,783.749,116.336,378.605,980.027,738.477,498.77
669.518,969.234,493.615,1043.519,890.081,309.059,689.57,48.522,999.57,714.647,710.69,101.294,778.407,114.818,375.644,983.701,739.225,499.144
666.481,967.87,491.743,1044.211,885.667,298.298,684.636,47.214,998.034,719.164,710.806,101.342,773.624,111.808,375.425,992.131,740.117,501.623
663.551,966.34,491.637,1044.09,882.037,291.396,680.191,45.195,997.959,721.784,711.059,101.134,769.999,109.761,378.028,1000.701,740.643,507.834
660.386,965.427,491.31,1044.131,876.815,283.108,677.319,44.25,995.084,726.422,711.028,101.373,763.481,106.94,382.06,1004.851,738.122,514.844
