x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
575.897,1055.666,283.014,991.881,869.828,921.115,70.879,781.753,1032.279,631.987,19.471,506.777,1018.255,360.409,110.466,241.796,843.445,111.455,429.569,24.813
576.376,1054.412,283.275,991.906,869.417,921.811,71.003,781.820,1032.372,632.041,19.490,506.704,1017.942,360.372,110.419,241.857,843.222,111.536,429.999,24.441
576.125,1054.271,283.179,992.050,869.873,921.029,70.997,781.556,1032.434,632.004,19.796,506.933,1019.009,361.552,110.644,241.903,843.494,111.489,429.920,24.386
576.427,1054.576,283.164,991.803,869.723,921.159,70.803,781.469,1032.394,632.224,19.565,506.953,1019.160,361.475,110.251,241.708,843.342,111.245,430.008,24.546
576.705,1054.461,282.974,991.828,870.379,921.802,70.888,781.675,1032.444,631.945,19.736,506.751,1019.502,361.406,110.362,242.207,843.514,111.132,430.254,24.576
576.222,1054.432,283.130,991.852,869.203,921.821,70.950,781.320,1032.244,632.161,19.265,506.526,1018.999,361.193,110.633,241.900,843.399,111.528,430.086,24.319
576.186,1055.596,283.196,991.875,869.767,921.071,70.900,781.218,1032.190,631.924,19.676,506.631,1018.086,360.391,110.436,241.827,843.447,111.679,429.853,24.497
575.964,1055.006,283.244,991.894,870.478,921.714,70.738,781.444,1032.135,631.730,19.374,506.051,1019.376,361.158,110.636,242.109,843.446,111.527,429.997,24.484
576.196,1054.593,283.090,991.555,869.804,920.931,71.099,781.672,1032.401,632.006,19.334,506.210,1019.138,361.430,110.471,242.006,843.353,111.504,429.635,24.666
576.106,1055.043,283.100,991.867,869.817,920.803,71.079,781.617,1032.159,631.974,19.212,506.467,1019.059,361.200,110.067,242.156,843.372,111.416,429.759,24.582
576.519,1054.278,283.237,992.125,869.682,920.655,70.873,781.478,1032.222,631.937,19.644,507.075,1018.108,360.490,110.315,242.123,843.613,111.720,429.953,24.716
